available;categoryId;currencyId;description;id;modified_time;name;oldprice;param;picture;price;type;url;vendor
true;Мужское/Одежда/Рубашки;RUB;66% лен 34% хлопок;1678276;1648112592;Рубашка Lacoste;17980.00;Артикул:CH0189|Категория:Рубашки|Размер:39, 41, 43, 45|Цвет:тёмно-синий|Пол:Мужской;;17980.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Frubashki-muzhchiny%2Frubashka_lacoste_342_color_89L%2F&i=5;Lacoste
true;Мужское/Одежда/Рубашки;RUB;66% лен 34% хлопок;1678271;1648112592;Рубашка Lacoste;17980.00;Артикул:CH0189|Категория:Рубашки|Размер:39, 41, 43, 45|Цвет:серый|Пол:Мужской;;17980.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Frubashki-muzhchiny%2Frubashka_lacoste_342_color_89G%2F&i=5;Lacoste
true;Женское/Обувь/Новые поступления;RUB;Верх-96%полиэстер6%спандекс,подкладка-100%микрофибра,низ-100%резина;1353036;1648112592;Кроссовки Lacoste LA PIQUEE 119 1 CFA;17480.00;Артикул:737CFA0016|Категория:Кроссовки|Размер:45|Цвет:белый,тёмно-синий,|Пол:Женский;https://lacoste.ru/upload/photo/1476/737CFA0016407.jpg;12236.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fnovye-postupleniya-obuv-zhenshchiny%2Fkrossovki_lacoste_la_piquee_119_1_cfa_color_407%2F&i=5;Lacoste
true;Мужское/Одежда/Свитеры;RUB;100% шерсть;1629620;1648112592;Свитер Lacoste из шерсти;23980.00;Артикул:AH2219|Категория:Свитеры|Размер:3|Цвет:тёмно-зелёный|Пол:Мужской;;16786.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fsvitery-muzhchiny%2Fsviter_lacoste_iz_shersti_1_color_19H%2F&i=5;Lacoste
true;Мужское/Одежда/Толстовки;RUB;82% хлопок 18% полиэстер;1320245;1648026095;Хлопковая толстовка Lacoste;16980.00;Артикул:SH0065|Категория:Толстовки|Размер:5, 6, 7, 8|Цвет:белый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/SH0065001.jpg;11886.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Ftolstovki-muzhchiny%2Fkhlopkovaya_tolstovka_lacoste_54_color_001%2F&i=5;Lacoste
true;Мужское/Одежда/Поло;RUB;100% хлопок;1352603;1648026095;Поло Lacoste;16980.00;Артикул:PH2384|Категория:Поло|Размер:2, 3, 4, 5, 6, 7, 8|Цвет:темно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/PH2384525.jpg;11886.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fpolo-muzh%2Fpolo_lacoste_525_color_525%2F&i=5;Lacoste
true;Мужское/Обувь/Кроссовки;RUB;Верх - 100% текстиль,подкладка - 63% текстиль 37% искусственная кожа,низ - 100% резина;1354349;1648026095;Кроссовки Lacoste RUN SPIN ULTRA 0921 1 SMA;30980.00;Артикул:741SMA0090|Категория:Кроссовки|Размер:7.5, 8, 9, 9.5|Цвет:синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/741SMA0090NV1.jpg;21686.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkrossovki-obuv-muzhchiny%2Fkrossovki_lacoste_run_spin_ultra_0921_1_sma_color_NV1%2F&i=5;Lacoste
true;Женское/Обувь/Кроссовки;RUB;Верх - 43.73% нубук 22.96% замша 17.24% искусственная кожа 16.07% кожа,подкладка - 100% текстиль,низ - 100% резина;1354033;1648026095;Кроссовки T-POINT 0721 1 G SFA OFF WHT/OFF WHT;21980.00;Артикул:741SFA0104|Категория:Кроссовки|Размер:4, 5, 6, 6.5, 7, 35, 45, 55|Цвет:бежевый|Пол:Женский;https://lacoste.ru/upload/photo/1476/741SFA010418C.jpg;15386.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkrossovki-zhenshchiny%2Fkrossovki_t_point_0721_1_g_sfa_off_wht_off_wht_color_18C%2F&i=5;Lacoste
true;Мужское/Одежда/Брюки;RUB;"Детали: выполнены из натурального хлопка с добавлением эластана;\Пять карманов;\Вышитый логотип Lacoste\Материал: 98% хлопок 2% эластан";1354021;1648026095;Джинсы Lacoste;16980.00;Артикул:HH9561|Категория:Брюки|Размер:30, 32, 33, 34, 36, 38, 40, 42, 44, 46|Цвет:бежевый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/HH956102S.jpg;11886.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbryuki-muzhchiny%2Fdzhinsy_lacoste_104_color_02S%2F&i=5;Lacoste
true;Мужское/Обувь/Кроссовки;RUB;Верх - 43.73% нубук 22.96% замша 17.24% искусственная кожа(полиуретан) 16.07% кожа,подкладка - 100% текстиль(полиэстер) ,низ - 100% резина;1354138;1648026095;Кроссовки T-POINT 0721 1 G SMA;21980.00;Артикул:741SMA0101|Категория:Кроссовки|Размер:7.5, 8, 8.5, 9.5|Цвет:черный|Пол:Мужской;https://lacoste.ru/upload/photo/1476/741SMA010102H.jpg;15386.00;;https://ad.admitad.com/g/f446ccbb4541237c4d2cd5f2d2f9d4/?f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkrossovki-obuv-muzhchiny%2Fkrossovki_t_point_0721_1_g_sma_color_02H%2F&i=5;Lacoste
