id;name;description;category;currency;price;old_price;credit_price;discount_sum;discount_percent;url;image;brand;available;gtin;mpn;model;params
3568070000229;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356807%2Fhi5544%2F;https://img.brandshop.ru/cache/products/h/hi5544-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:жёлтый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:S INT"
3568070000231;"adidas Originals x Pharrell Williams Basics Crew Human Race Logo";"Лимитированная коллаборация adidas Originals x Pharrell WilliamsСвободный кройКонтрастный брендингЭластичные манжеты и подолНа модели размер толстовки - MРост модели - 186 см";"Мужская одежда и обувь > Мужская одежда > Мужские толстовки";RUB;9100;12990;;3890;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356807%2Fhi5544%2F;https://img.brandshop.ru/cache/products/h/hi5544-0_676x676.jpg;"adidas Originals";"in stock";;;"x Pharrell Williams Basics Crew Human Race Logo";"Возраст:Взрослый|Цвет:жёлтый|Пол:Мужской|Материал:Материал: 100% хлопок|Размер:L INT"
3576160000743;"Reebok Club C Double GEO";"Перфорация в носочной области и по бокам. Лаконичный брендинг. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;6790;9690;;2900;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357616%2Fgz6420%2F;https://img.brandshop.ru/cache/products/g/gz6420-0_676x676.jpg;Reebok;"in stock";;;"Club C Double GEO";"Возраст:Взрослый|Цвет:розовый|Пол:Женский|Материал:Материал: Верх - кожа; Подкладка - текстиль; Низ - резина|Размер:38 INT"
3570330000557;"Puma x Liberty Reversible Bucket";"Саржевая ткань. Вышитый брендинг.";"Аксессуары > Панамы";RUB;3640;5190;;1550;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357033%2F023835-01%2F;https://img.brandshop.ru/cache/products/0/023835-01-0_676x676.jpg;Puma;"in stock";;;"x Liberty Reversible Bucket";"Возраст:Взрослый|Цвет:чёрный|Пол:Унисекс|Материал:Материал: 100% полиэстер|Размер:S-M INT"
3575180000736;"adidas Originals NMD_R1";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;8050;11490;;3440;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357518%2Ffx7074%2F;https://img.brandshop.ru/cache/products/f/fx7074-0_676x676.jpg;"adidas Originals";"in stock";;;NMD_R1;"Возраст:Взрослый|Цвет:белый|Пол:Женский|Материал:Материал: Верх - текстиль; Подкладка - текстиль; Низ - резина|Размер:40.5 INT"
3575180000735;"adidas Originals NMD_R1";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;8050;11490;;3440;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357518%2Ffx7074%2F;https://img.brandshop.ru/cache/products/f/fx7074-0_676x676.jpg;"adidas Originals";"in stock";;;NMD_R1;"Возраст:Взрослый|Цвет:белый|Пол:Женский|Материал:Материал: Верх - текстиль; Подкладка - текстиль; Низ - резина|Размер:40 INT"
3575180000744;"adidas Originals NMD_R1";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;8050;11490;;3440;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357518%2Ffx7074%2F;https://img.brandshop.ru/cache/products/f/fx7074-0_676x676.jpg;"adidas Originals";"in stock";;;NMD_R1;"Возраст:Взрослый|Цвет:белый|Пол:Женский|Материал:Материал: Верх - текстиль; Подкладка - текстиль; Низ - резина|Размер:41.5 INT"
3575880000748;"adidas Originals Ozelia Strap";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;4850;9690;;4840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357588%2Fgz6241%2F;https://img.brandshop.ru/cache/products/g/gz6241-0_676x676.jpg;"adidas Originals";"in stock";;;"Ozelia Strap";"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, кожа; Подкладка - текстиль; Низ - резина|Размер:39.5 INT"
3575880000755;"adidas Originals Ozelia Strap";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;4850;9690;;4840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357588%2Fgz6241%2F;https://img.brandshop.ru/cache/products/g/gz6241-0_676x676.jpg;"adidas Originals";"in stock";;;"Ozelia Strap";"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, кожа; Подкладка - текстиль; Низ - резина|Размер:36.5 INT"
3575880000753;"adidas Originals Ozelia Strap";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;4850;9690;;4840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357588%2Fgz6241%2F;https://img.brandshop.ru/cache/products/g/gz6241-0_676x676.jpg;"adidas Originals";"in stock";;;"Ozelia Strap";"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, кожа; Подкладка - текстиль; Низ - резина|Размер:37.5 INT"
3575880000739;"adidas Originals Ozelia Strap";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;4850;9690;;4840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357588%2Fgz6241%2F;https://img.brandshop.ru/cache/products/g/gz6241-0_676x676.jpg;"adidas Originals";"in stock";;;"Ozelia Strap";"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, кожа; Подкладка - текстиль; Низ - резина|Размер:38.5 INT"
3575880000743;"adidas Originals Ozelia Strap";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;4850;9690;;4840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357588%2Fgz6241%2F;https://img.brandshop.ru/cache/products/g/gz6241-0_676x676.jpg;"adidas Originals";"in stock";;;"Ozelia Strap";"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, кожа; Подкладка - текстиль; Низ - резина|Размер:38 INT"
3575880000735;"adidas Originals Ozelia Strap";;"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;4850;9690;;4840;50;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F357588%2Fgz6241%2F;https://img.brandshop.ru/cache/products/g/gz6241-0_676x676.jpg;"adidas Originals";"in stock";;;"Ozelia Strap";"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, кожа; Подкладка - текстиль; Низ - резина|Размер:40 INT"
